year,code,name,大数据
2017,sz002258,利尔化学,0
2017,sz600696,*ST匹凸,1
2017,sz002189,利达光电,0
2017,sz002793,东音股份,0
2017,sz600829,人民同泰,0
2017,sz300320,海达股份,0
2017,sz603707,健友股份,1
2017,sz603618,杭电股份,1
2017,sz300536,农尚环境,0
2017,sz300413,快乐购,1
2017,sz000050,深天马Ａ,0
2017,sz300301,长方集团,0
2017,sz002677,浙江美大,0
2017,sz300102,乾照光电,0
2017,sz300146,汤臣倍健,0
2017,sz601005,*ST重钢,0
2017,sz603127,昭衍新药,0
2017,sz300590,移为通信,1
2017,sz600793,宜宾纸业,0
2017,sz300677,英科医疗,0
2017,sz300700,岱勒新材,0
2017,sz002084,海鸥住工,1
2017,sz002341,新纶科技,0
2017,sz600753,东方银星,0
2017,sz603730,岱美股份,0
2017,sz603826,坤彩科技,0
2017,sz002138,顺络电子,0
2017,sz300414,中光防雷,0
2017,sz300033,同花顺,1
2017,sz002349,精华制药,0
2017,sz002859,洁美科技,0
2017,sz002597,金禾实业,0
2017,sz000410,*ST沈机,0
2017,sz300016,北陆药业,0
2017,sz000683,远兴能源,0
2017,sz002262,恩华药业,0
2017,sz002661,克明面业,0
2017,sz600844,*ST丹科,0
2017,sz002240,威华股份,0
2017,sz603456,九洲药业,0
2017,sz600785,新华百货,1
2017,sz603456,九洲药业,0
2017,sz600058,五矿发展,0
2017,sz600556,ST慧球,0
2017,sz600226,瀚叶股份,1
2017,sz002382,蓝帆医疗,0
2017,sz600675,中华企业,1
2017,sz600190,锦州港,0
2017,sz600353,旭光股份,1
2017,sz600168,武汉控股,0
2017,sz600678,四川金顶,0
2017,sz002644,佛慈制药,0
2017,sz600282,南钢股份,1
2017,sz600516,方大炭素,0
2017,sz002459,天业通联,1
2017,sz002245,澳洋顺昌,0
2017,sz300618,寒锐钴业,0
2017,sz603626,科森科技,0
2017,sz000932,*ST华菱,0
2017,sz300204,舒泰神,0
2017,sz603077,和邦生物,0
2017,sz603225,新凤鸣,0
2017,sz300495,美尚生态,0
2017,sz300161,华中数控,1
2017,sz600077,宋都股份,1
2017,sz600423,*ST柳化,0
2017,sz600664,哈药股份,0
2017,sz002714,牧原股份,1
2017,sz600722,金牛化工,0
2017,sz600301,ST南化,0
2017,sz603078,江化微,0
2017,sz600360,华微电子,0
2017,sz300193,佳士科技,0
2017,sz600219,南山铝业,0
2017,sz300476,胜宏科技,0
2017,sz600507,方大特钢,0
2017,sz600733,S*ST前锋,0
2017,sz600816,安信信托,0
2017,sz600527,江南高纤,0
2017,sz300474,景嘉微,0
2017,sz600961,株冶集团,0
2017,sz300451,创业软件,1
2017,sz300483,沃施股份,0
2017,sz002741,光华科技,0
2017,sz601313,江南嘉捷,1
2017,sz002258,利尔化学,0
2017,sz900956,东贝Ｂ股,0
2017,sz600073,上海梅林,0
2017,sz600499,科达洁能,0
2017,sz600682,南京新百,1
2017,sz601677,明泰铝业,0
2017,sz603725,天安新材,1
2017,sz603788,宁波高发,0
2017,sz600106,重庆路桥,0
2017,sz600684,珠江实业,0
2017,sz600760,中航沈飞,0
2017,sz600990,四创电子,1
2017,sz601558,*ST锐电,1
2017,sz603313,梦百合,0
2017,sz603337,杰克股份,0
2017,sz603901,永创智能,0
2017,sz600076,康欣新材,0
2017,sz600369,西南证券,1
2017,sz600856,中天能源,0
2017,sz600861,北京城乡,1
2017,sz600966,博汇纸业,0
2017,sz603357,设计总院,0
2017,sz603363,傲农生物,1
2017,sz603377,东方时尚,0
2017,sz603639,海利尔,1
2017,sz603990,麦迪科技,1
2017,sz300259,新天科技,1
2017,sz600428,中远海特,0
2017,sz603029,天鹅股份,1
2017,sz603228,景旺电子,1
2017,sz603578,三星新材,1
2017,sz002134,*ST普林,0
2017,sz002024,苏宁易购,1
2017,sz600141,兴发集团,0
2017,sz600329,中新药业,1
2017,sz600365,通葡股份,0
2017,sz600439,瑞贝卡,0
2017,sz600615,丰华股份,0
2017,sz600630,龙头股份,0
2017,sz600718,东软集团,1
2017,sz600812,华北制药,0
2017,sz603717,天域生态,0
2017,sz300342,天银机电,0
2017,sz300353,东土科技,1
2017,sz002368,太极股份,1
2017,sz002019,亿帆医药,0
2017,sz002002,鸿达兴业,0
2017,sz002762,金发拉比,1
2017,sz002285,世联行,1
2017,sz300213,佳讯飞鸿,1
2017,sz000333,美的集团,1
2017,sz300128,锦富技术,1
2017,sz600006,东风汽车,0
2017,sz600056,中国医药,0
2017,sz600078,澄星股份,0
2017,sz002798,帝王洁具,0
2017,sz600081,东风科技,0
2017,sz600131,岷江水电,0
2017,sz600350,山东高速,1
2017,sz300147,香雪制药,1
2017,sz300719,安达维尔,0
2017,sz300190,维尔利,0
2017,sz300044,赛为智能,1
2017,sz300252,金信诺,1
2017,sz300437,清水源,0
2017,sz000978,桂林旅游,0
2017,sz300324,旋极信息,1
2017,sz002532,新界泵业,1
2017,sz300223,北京君正,1
2017,sz600121,*ST郑煤,0
2017,sz600135,乐凯胶片,0
2017,sz600222,太龙药业,0
2017,sz600248,延长化建,0
2017,sz600300,维维股份,1
2017,sz600455,博通股份,1
2017,sz600466,蓝光发展,1
2017,sz600917,重庆燃气,0
2017,sz601128,常熟银行,1
2017,sz601968,宝钢包装,0
2017,sz300110,华仁药业,0
2017,sz002365,永安药业,0
2017,sz002314,南山控股,0
2017,sz300639,凯普生物,0
2017,sz000623,吉林敖东,0
2017,sz002324,普利特,1
2017,sz002471,中超控股,0
2017,sz300244,迪安诊断,1
2017,sz300633,开立医疗,0
2017,sz002408,齐翔腾达,0
2017,sz002421,达实智能,1
2017,sz002187,广百股份,1
2017,sz002152,广电运通,1
2017,sz000089,深圳机场,1
2017,sz000890,法 尔 胜,0
2017,sz002140,东华科技,0
2017,sz002030,达安基因,0
2017,sz002430,杭氧股份,1
2017,sz601901,方正证券,0
2017,sz603817,海峡环保,0
2017,sz300629,新劲刚,0
2017,sz000404,华意压缩,0
2017,sz600713,南京医药,1
2017,sz601377,兴业证券,0
2017,sz000792,盐湖股份,1
2017,sz603006,联明股份,0
2017,sz603156,养元饮品,0
2017,sz300194,福安药业,0
2017,sz000969,安泰科技,0
2017,sz002016,世荣兆业,0
2017,sz200053,深基地Ｂ,0
2017,sz000785,武汉中商,0
2017,sz600218,全柴动力,0
2017,sz600667,太极实业,1
2017,sz000993,闽东电力,0
2017,sz002612,朗姿股份,1
2017,sz000860,顺鑫农业,0
2017,sz000958,东方能源,0
2017,sz600343,航天动力,0
2017,sz600973,宝胜股份,0
2017,sz300273,和佳股份,1
2017,sz000016,深康佳Ａ,1
2017,sz600278,东方创业,0
2017,sz600833,第一医药,0
2017,sz601933,永辉超市,0
2017,sz300375,鹏翎股份,0
2017,sz002289,宇顺电子,0
2017,sz600085,同仁堂,0
2017,sz600757,长江传媒,1
2017,sz002061,浙江交科,0
2017,sz603928,兴业股份,1
2017,sz002742,三圣股份,0
2017,sz600647,同达创业,0
2017,sz600061,国投资本,1
2017,sz600200,江苏吴中,0
2017,sz600493,凤竹纺织,0
2017,sz600561,江西长运,1
2017,sz600605,汇通能源,0
2017,sz600616,金枫酒业,0
2017,sz600689,上海三毛,0
2017,sz600846,同济科技,0
2017,sz601000,唐山港,0
2017,sz900953,凯马Ｂ,0
2017,sz002032,苏 泊 尔,0
2017,sz300305,裕兴股份,0
2017,sz000544,中原环保,1
2017,sz002109,兴化股份,0
2017,sz000531,穗恒运Ａ,0
2017,sz300215,电科院,0
2017,sz002799,环球印务,0
2017,sz002184,海得控制,1
2017,sz002598,山东章鼓,0
2017,sz002561,徐家汇,1
2017,sz000722,湖南发展,0
2017,sz603636,南威软件,1
2017,sz603580,艾艾精工,0
